"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000264725",0.174504695991559,0.730679436671849,2.64400991923314,0.2763527592528,0.78227713696948,NA
"ENSG00000264727",11.0703531769834,-0.958843228355481,0.665448575564565,-1.44089755927721,0.149613625728946,0.300225573680363
"ENSG00000264729",0,NA,NA,NA,NA,NA
"ENSG00000264732",0,NA,NA,NA,NA,NA
"ENSG00000264767",1.26048088614458,-1.74439955265303,1.21769868537151,-1.43253792880693,0.151989931374528,0.303016917799138
"ENSG00000264769",0.0485130938277746,0.204977630600674,2.96442323626952,0.0691458723210594,0.94487350754798,NA
"ENSG00000264772",1.72646854191637,-0.67495179167558,1.16192722624402,-0.580889901218162,0.56131465903632,0.710357433607612
"ENSG00000264773",0.172094225647423,-0.674875206415948,2.96407663331896,-0.22768480370235,0.819891287067711,NA
"ENSG00000264775",0.0880499405247124,0.0607090431444289,2.96442323626952,0.0204792090419673,0.983661097379797,NA
"ENSG00000264781",0,NA,NA,NA,NA,NA
"ENSG00000264785",0,NA,NA,NA,NA,NA
"ENSG00000264788",0,NA,NA,NA,NA,NA
"ENSG00000264790",1.34571098256681,-0.13807596108124,1.46305031885875,-0.094375401379869,0.924810955431989,0.957515500579117
"ENSG00000264791",0,NA,NA,NA,NA,NA
"ENSG00000264792",0.399144165257404,-1.22700592950951,1.27896568080236,-0.959373615670241,0.337370561861047,NA
"ENSG00000264793",0,NA,NA,NA,NA,NA
"ENSG00000264796",15.097315098504,0.466870377933473,0.613492908813733,0.761003707176057,0.446654852991166,0.616320409075749
"ENSG00000264800",0.262818045975218,-1.13637502880505,2.46610870051357,-0.460796812633765,0.64494438872939,NA
"ENSG00000264801",24.7930315095199,-1.37936805878661,0.550969244057869,-2.50353004938645,0.0122961238325307,0.0504492888259637
"ENSG00000264802",0,NA,NA,NA,NA,NA
"ENSG00000264803",0,NA,NA,NA,NA,NA
"ENSG00000264808",1.85863394747051,-1.41714558195799,0.99080569329117,-1.43029616357032,0.152632035431779,0.30373775050924
"ENSG00000264809",0.236578675183773,-1.01067835546455,2.95909992841041,-0.341549248053772,0.732690136686269,NA
"ENSG00000264860",1.21221112062077,-0.690197348721628,1.2192010933504,-0.566106241608548,0.571321560560955,0.718452471703855
"ENSG00000264862",1.10817288363005,-0.450605139371516,1.18013619235984,-0.381824693021635,0.702591401595406,0.815167951024507
"ENSG00000264864",0.117428906432317,-0.370877098508363,2.96439176400378,-0.125110689825777,0.90043592053698,NA
"ENSG00000264869",1.13578675093882,-0.810826475269177,1.46181798239233,-0.554669928154955,0.579120448797611,0.723985495496468
"ENSG00000264874",0,NA,NA,NA,NA,NA
"ENSG00000264876",0.0399251705957012,0.204977630600674,2.96442323626952,0.0691458723210594,0.94487350754798,NA
"ENSG00000264879",0.049334509806027,0.204977630600674,2.96442323626952,0.0691458723210594,0.94487350754798,NA
"ENSG00000264880",0.23824182457572,0.986612418381079,2.96410117696671,0.332853826329478,0.739244625076357,NA
"ENSG00000264881",0.26998256195902,-1.20407548275708,2.46452657358392,-0.48856258871906,0.625151404558452,NA
"ENSG00000264885",10.9106329021527,-0.708460677895157,0.684001440072979,-1.03575904433705,0.300314568873312,0.47737741610397
"ENSG00000264892",0,NA,NA,NA,NA,NA
"ENSG00000264895",150.204923313983,-0.0132247267507421,0.351327931355795,-0.0376421160131137,0.969973027978644,0.983402887092949
"ENSG00000264897",0.0932688922393451,-0.0835567347609039,2.96442323626952,-0.0281865064807861,0.977513399217999,NA
"ENSG00000264901",0.087086746154705,0.814110105652431,2.96442323626952,0.274626812963765,0.783602964339749,NA
"ENSG00000264902",0,NA,NA,NA,NA,NA
"ENSG00000264906",0.0172313295914544,0.34924621805692,2.96442323626952,0.117812535600151,0.906216196751384,NA
"ENSG00000264907",0.0234356442356627,0.349246920444647,2.96442323626952,0.117812772539236,0.906216009008795,NA
"ENSG00000264910",0.550113414103168,0.909930512459092,0.89676491998536,1.01468120817432,0.310257814692823,NA
"ENSG00000264911",3.2940636227194,-1.00924307645773,0.982073344557861,-1.02766568510431,0.304107114636962,0.481510048121709
"ENSG00000264961",0.429960476994904,0.0179105730418963,2.04834517796992,0.00874392325791845,0.993023447531883,NA
"ENSG00000264963",0,NA,NA,NA,NA,NA
"ENSG00000264964",0.34919102779836,0.59749560280532,2.12006199930177,0.281829306408068,0.778074398144611,NA
"ENSG00000264966",11.8388759105359,-0.687664430999206,0.581038221179712,-1.18350980354271,0.23660716351146,0.40664602426299
"ENSG00000264968",4.60567526667999,-3.47759299430902,0.635725632391494,-5.47027336498435,4.49341965688622e-08,2.70516427404655e-06
"ENSG00000264970",0,NA,NA,NA,NA,NA
"ENSG00000264971",0.729971783624705,1.72303510001162,1.07299638101727,1.60581632006817,0.10831427373744,0.238901543913
"ENSG00000264974",1.31833854746135,0.0217380893835087,1.30830754497234,0.0166154276699278,0.986743416756707,0.991978308350169
"ENSG00000264975",0,NA,NA,NA,NA,NA
"ENSG00000264978",16.9055577864462,0.101241958584289,0.470815306273007,0.215035401855824,0.829739717433177,0.900028685416326
"ENSG00000264979",0,NA,NA,NA,NA,NA
"ENSG00000264981",0,NA,NA,NA,NA,NA
"ENSG00000264982",4.71680648111001,-0.472415678522927,0.810299996666826,-0.58301330429003,0.559884344016761,0.708865544838586
"ENSG00000264984",0.0453876820084937,0.204977630600674,2.96442323626952,0.0691458723210594,0.94487350754798,NA
